example1_ev01 21
2	ZZ	P	1.400E-08	167.7	0.0	69.6	5600	4878	2900
3	ZZ	P	4.823E-09	140.0	0.0	71.3	5600	7033	2900
4	ZZ	P	8.567E-08	202.7	0.0	68.2	5600	3938	2900
5	ZZ	P	3.368E-08	198.9	0.0	112.3	5900	2642	2900
7	ZZ	P	7.350E-09	132.2	0.0	71.8	5600	8688	2900
8	ZZ	P	-1.094E-08	311.9	0.0	116.1	5900	2416	2900
9	ZZ	P	2.923E-08	237.6	0.0	112.2	5900	1976	2900
10	ZZ	P	8.523E-09	180.0	0.0	68.9	5600	7006	2900
14	ZZ	P	-1.498E-08	285.9	0.0	114.4	5900	1240	2900
15	ZZ	P	9.167E-09	186.7	0.0	68.7	5600	5218	2900
16	ZZ	P	8.725E-09	150.7	0.0	70.6	5600	6036	2900
17	ZZ	P	3.252E-09	131.0	0.0	71.9	5600	5017	2900
18	ZZ	P	3.080E-08	216.6	0.0	68.0	5600	5421	2900
19	ZZ	P	2.766E-09	137.3	0.0	71.5	5600	9470	2900
20	ZZ	P	3.081E-08	190.3	0.0	112.5	5900	1632	2900
22	ZZ	P	2.951E-08	248.7	0.0	68.5	5600	4124	2900
23	ZZ	P	4.531E-09	144.8	0.0	71.0	5600	7073	2900
24	ZZ	P	5.109E-09	164.2	0.0	69.8	5600	8509	2900
26	ZZ	P	5.889E-10	273.3	0.0	113.6	5900	3123	2900
27	ZZ	P	8.347E-09	284.3	0.0	70.3	5600	5123	2900
28	ZZ	P	-2.853E-08	319.0	0.0	72.6	5600	3990	2900
